        2       1      27       6       1       2
                                                                                 
 aoints SIFS file created by argos.      colosse3          08:39:35.718 03-Nov-17
       27
     a
        2    4096    3272    4096    2700       0
     1O__1s    2O__1s    3O__1s    4O__2p    5O__2p    6O__2p    7O__2p    8O__2p
     9O__2p   10C__1s   11C__1s   12C__1s   13C__2p   14C__2p   15C__2p   16C__2p
    17C__2p   18C__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
   2.076208787615E-01  17   2
   2.877450356817E-01  17   3
   1.057064609341E-01  16   5
   1.057064609341E-01  17   4
   2.579791392826E-01  16   8
   2.579791392826E-01  17   7
   1.062934819859E+00  14  10
   5.008211509889E-01  14  11
   2.340256732576E-01  14  12
   1.459943059457E-01  17  10
   4.978200146186E-01  17  11
   4.107485849032E-01  17  12
  -8.658440506572E-09  19   5
  -8.716150081126E-04  19   8
  -3.067306278927E-05  20   5
  -8.935669802678E-03  20   8
  -3.313689871098E-03  21   5
  -3.431022753062E-02  21   8
   8.658440506572E-09  23   1
   3.067306278927E-05  23   2
   3.313689871098E-03  23   3
   8.933289177353E-05  22   5
   8.933289177353E-05  23   4
   1.234323946834E-02  22   8
